2020-05-08 14:27:56 startup archives install
2020-05-08 14:27:56 install base-passwd:armhf <none> 3.5.43
2020-05-08 14:27:56 status half-installed base-passwd:armhf 3.5.43
2020-05-08 14:27:56 status unpacked base-passwd:armhf 3.5.43
2020-05-08 14:27:56 status unpacked base-passwd:armhf 3.5.43
2020-05-08 14:27:56 configure base-passwd:armhf 3.5.43 3.5.43
2020-05-08 14:27:56 status unpacked base-passwd:armhf 3.5.43
2020-05-08 14:27:56 status half-configured base-passwd:armhf 3.5.43
2020-05-08 14:27:57 status installed base-passwd:armhf 3.5.43
2020-05-08 14:27:57 startup archives install
2020-05-08 14:27:57 install base-files:armhf <none> 9.9+deb9u12
2020-05-08 14:27:57 status half-installed base-files:armhf 9.9+deb9u12
2020-05-08 14:27:57 status unpacked base-files:armhf 9.9+deb9u12
2020-05-08 14:27:57 status unpacked base-files:armhf 9.9+deb9u12
2020-05-08 14:27:57 configure base-files:armhf 9.9+deb9u12 9.9+deb9u12
2020-05-08 14:27:57 status unpacked base-files:armhf 9.9+deb9u12
2020-05-08 14:27:57 status unpacked base-files:armhf 9.9+deb9u12
2020-05-08 14:27:57 status unpacked base-files:armhf 9.9+deb9u12
2020-05-08 14:27:57 status unpacked base-files:armhf 9.9+deb9u12
2020-05-08 14:27:57 status unpacked base-files:armhf 9.9+deb9u12
2020-05-08 14:27:57 status unpacked base-files:armhf 9.9+deb9u12
2020-05-08 14:27:57 status unpacked base-files:armhf 9.9+deb9u12
2020-05-08 14:27:57 status half-configured base-files:armhf 9.9+deb9u12
2020-05-08 14:27:59 status installed base-files:armhf 9.9+deb9u12
2020-05-08 14:27:59 startup archives install
2020-05-08 14:27:59 upgrade dpkg 1.18.25 1.18.25
2020-05-08 14:27:59 status half-configured dpkg 1.18.25
2020-05-08 14:27:59 status unpacked dpkg 1.18.25
2020-05-08 14:27:59 status half-installed dpkg 1.18.25
2020-05-08 14:28:00 status half-installed dpkg 1.18.25
2020-05-08 14:28:00 status unpacked dpkg:armhf 1.18.25
2020-05-08 14:28:00 status unpacked dpkg:armhf 1.18.25
2020-05-08 14:28:00 configure dpkg:armhf 1.18.25 1.18.25
2020-05-08 14:28:00 status unpacked dpkg:armhf 1.18.25
2020-05-08 14:28:00 status unpacked dpkg:armhf 1.18.25
2020-05-08 14:28:00 status unpacked dpkg:armhf 1.18.25
2020-05-08 14:28:00 status unpacked dpkg:armhf 1.18.25
2020-05-08 14:28:00 status unpacked dpkg:armhf 1.18.25
2020-05-08 14:28:00 status half-configured dpkg:armhf 1.18.25
2020-05-08 14:28:00 status installed dpkg:armhf 1.18.25
2020-05-08 14:28:00 startup archives install
2020-05-08 14:28:00 install libc6:armhf <none> 2.24-11+deb9u4
